VERB,SG_GEN_-_1_PRES_IND,SG_GEN_-_2_PRES_IND,SG_GEN_-_3_PRES_IND,PL_GEN_-_1_PRES_IND,PL_GEN_-_2_PRES_IND,PL_GEN_-_3_PRES_IND,SG_GEN_M_1_PAST_IND,SG_GEN_F_1_PAST_IND,SG_GEN_M_2_PAST_IND,SG_GEN_F_2_PAST_IND,SG_GEN_M_3_PAST_IND,SG_GEN_F_3_PAST_IND,SG_GEN_N_3_PAST_IND,PL_GEN_M_1_PAST_IND,PL_GEN_F_1_PAST_IND,PL_GEN_M_2_PAST_IND,PL_GEN_F_2_PAST_IND,PL_GEN_M_3_PAST_IND,PL_GEN_F_3_PAST_IND,SG_GEN_M_1_-_PRE,SG_GEN_F_1_-_PRE,SG_GEN_M_2_-_PRE,SG_GEN_F_2_-_PRE,SG_GEN_M_3_-_PRE,SG_GEN_F_3_-_PRE,SG_GEN_N_3_-_PRE,PL_GEN_M_1_-_PRE,PL_GEN_F_1_-_PRE,PL_GEN_M_2_-_PRE,PL_GEN_F_2_-_PRE,PL_GEN_M_3_-_PRE,PL_GEN_F_3_-_PRE
wstawać,wstaję,wstajesz,wstaje,wstajemy,wstajecie,wstają,wstałem,wstałam,wstałeś,wstałaś,wstał,wstała,wstało,wstaliśmy,wstałyśmy,wstaliście,wstałyście,wstali,wstały,wstałbym,wstałabym,wstałbyś,wstałabyś,wstałby,wstałaby,wstałoby,wstalibyśmy,wstałybyśmy,wstalibyście,wstałybyście,wstaliby,wstałyby
siadać,siadam,siedzisz,siada,siadamy,siadacie,siadają,siadałem,siadałam,siadałeś,siadałaś,siadał,siadała,siadało,siadaliśmy,siadałyśmy,siadaliście,siadałyście,siadali,siadały,siadałbym,siadałabym,siadałbyś,siadałabyś,siadałby,siadałaby,siadałoby,siadalibyśmy,siadałybyśmy,siadalibyście,siadałybyście,siadaliby,siadałyby
wracać,wracam,wracasz,wraca,wracamy,wracacie,wracają,wracałem,wracałam,wracałeś,wracałaś,wracał,wracała,wracało,wracaliśmy,wracałyśmy,wracaliście,wracałyście,wracali,wracały,wracałbym,wracałabym,wracałbyś,wracałabyś,wracałby,wracałaby,wracałoby,wracalibyśmy,wracałybyśmy,wracalibyście,wracałybyście,wracaliby,wracałyby
zaczynać,zaczynam,zaczynasz,zaczyna,zaczynamy,zaczynacie,zaczynają,zaczynałem,zaczynałam,zaczynałeś,zaczynałaś,zaczynał,zaczynała,zaczynało,zaczynaliśmy,zaczynałyśmy,zaczynaliście,zaczynałyście,zaczynali,zaczynały,zaczynałbym,zaczynałabym,zaczynałbyś,zaczynałabyś,zaczynałby,zaczynałaby,zaczynałoby,zaczynalibyśmy,zaczynałybyśmy,zaczynalibyście,zaczynałybyście,zaczynaliby,zaczynałyby
ubrać się,ubiorę się,ubierzesz się,ubierze się,ubierzemy się,ubierzecie się,ubiorą się,ubrałem się,ubrałam się,ubrałeś się,ubrałaś się,ubrał się,ubrała się,ubrało się,ubraliśmy się,ubrałyśmy się,ubraliście się,ubrałyście się,ubrali się,ubrały się,ubrałbym się,ubrałabym się,ubrałbyś się,ubrałabyś się,ubrałby się,ubrałaby się,ubrałoby się,ubralibyśmy się,ubrałybyśmy się,ubralibyście się,ubrałybyście się,ubraliby się,ubrałyby się
spóźnić się,spóźnię się,spóźnisz się,spóźni się,spóźnimy się,spóźnicie się,spóźnią się,spóźniłem się,spóźniłam się,spóźniłeś się,spóźniłaś się,spóźnił się,spóźniła się,spóźniło się,spóźniliśmy się,spóźniłyśmy się,spóźniliście się,spóźniłyście się,spóźnili się,spóźniły się,spóźniłbym się,spóźniłabym się,spóźniłbyś się,spóźniłabyś się,spóźniłby się,spóźniłaby się,spóźniłoby się,spóźnilibyśmy się,spóźniłybyśmy się,spóźnilibyście się,spóźniłybyście się,spóźniliby się,spóźniłyby się
uśmiechnąć się,uśmiechnę się,uśmiechniesz się,uśmiechnie się,uśmiechniemy się,uśmiechniecie się,uśmiechną się,uśmiechnąłem się,uśmiechnęłam się,uśmiechnąłeś się,uśmiechnęłaś się,uśmiechnął się,uśmiechnęła się,uśmiechnęło się,uśmiechnęliśmy się,uśmiechnęłyśmy się,uśmiechnęliście się,uśmiechnęłyście się,uśmiechnęli się,uśmiechnęły się,uśmiechnąłbym się,uśmiechnęłabym się,uśmiechnąłbyś się,uśmiechnęłabyś się,uśmiechnąłby się,uśmiechnęłaby się,uśmiechnęłoby się,uśmiechnęlibyśmy się,uśmiechnęłybyśmy się,uśmiechnęlibyście się,uśmiechnęłybyście się,uśmiechnęliby się,uśmiechnęłyby się
położyć się,położę się,położysz się,położy się,położymy się,położycie się,położą się,położyłem się,położyłam się,położyłeś się,położyłaś się,położył się,położyła się,położyło się,położyliśmy się,położyłyśmy się,położyliście się,położyłyście się,położyli się,położyły się,położyłbym się,położyłabym się,położyłbyś się,położyłabyś się,położyłby się,położyłaby się,położyłoby się,położylibyśmy się,położyłybyśmy się,położylibyście się,położyłybyście się,położyliby się,położyłyby się
zdecydować się,zdecyduję się,zdecydujesz się,zdecyduje się,zdecydujemy się,zdecydujecie się,zdecydują się,zdecydowałem się,zdecydowałam się,zdecydowałeś się,zdecydowałaś się,zdecydował się,zdecydowała się,zdecydowało się,zdecydowaliśmy się,zdecydowałyśmy się,zdecydowaliście się,zdecydowałyście się,zdecydowali się,zdecydowały się,zdecydowałbym się,zdecydowałabym się,zdecydowałbyś się,zdecydowałabyś się,zdecydowałby się,zdecydowałaby się,zdecydowałoby się,zdecydowalibyśmy się,zdecydowałybyśmy się,zdecydowalibyście się,zdecydowałybyście się,zdecydowaliby się,zdecydowałyby się
czyścić,czyszczę,czyścisz,czyści,czyścimy,czyścicie,czyszczą,czyściłem,czyściłam,czyściłeś,czyściłaś,czyścił,czyściła,czyściło,czyściliśmy,czyściłyśmy,czyściliście,czyściłyście,czyścili,czyściły,czyściłbym,czyściłabym,czyściłbyś,czyściłabyś,czyściłby,czyściłaby,czyściłoby,czyscilibyśmy,czyściłybyśmy,czyscilibyście,czyściłybyście,czysciliby,czyściłyby
gotować,gotuję,gotujesz,gotuje,gotujemy,gotujecie,gotują,gotowałem,gotowałam,gotowałeś,gotowałaś,gotował,gotowała,gotowało,gotowaliśmy,gotowałyśmy,gotowaliście,gotowałyście,gotowali,gotowały,gotowałbym,gotowałabym,gotowałbyś,gotowałabyś,gotowałby,gotowałaby,gotowałoby,gotowalibyśmy,gotowałybyśmy,gotowalibyście,gotowałybyście,gotowaliby,gotowałyby
zjeść,zjem,zjesz,zje,zjemy,zjecie,zjedzą,zjadłem,zjadłam,zjadłeś,zjadłaś,zjadł,zjadła,zjadło,zjedliśmy,zjadłyśmy,zjedliście,zjadłyście,zjedli,zjadły,zjadłbym,zjadłabym,zjadłbyś,zjadłabyś,zjadłby,zjadłaby,zjadłoby,zjedlibyśmy,zjadłybyśmy,zjedlibyście,zjadłybyście,zjedliby,zjadłyby
odpowiedzieć,odpowiem,odpowiesz,odpowie,odpowiemy,odpowiecie,odpowiedzą,odpowiedziałem,odpowiedziałam,odpowiedziałeś,odpowiedziałaś,odpowiedział,odpowiedziała,odpowiedziało,odpowiedzieliśmy,odpowiedziałyśmy,odpowiedzieliście,odpowiedziałyście,odpowiedzieli,odpowiedziały,odpowiedziałbym,odpowiedziałabym,odpowiedziałbyś,odpowiedziałabyś,odpowiedziałby,odpowiedziałaby,odpowiedziałoby,odpowiedzielibyśmy,odpowiedziałybyśmy,odpowiedzielibyście,odpowiedziałybyście,odpowiedzieliby,odpowiedziałyby
nauczyć się,nauczę się,nauczysz się,nauczy się,nauczymy się,nauczycie się,nauczą się,nauczyłem się,nauczyłam się,nauczyłeś się,nauczyłaś się,nauczył się,nauczyła się,nauczyło się,nauczyliśmy się,nauczyłyśmy się,nauczyliście się,nauczyłyście się,nauczyli się,nauczyły się,nauczyłbym się,nauczyłabym się,nauczyłbyś się,nauczyłabyś się,nauczyłby się,nauczyłaby się,nauczyłoby się,nauczylibyśmy się,nauczyłybyśmy się,nauczylibyście się,nauczyłybyście się,nauczyliby się,nauczyłyby się
móc,mogę,możesz,może,możemy,możecie,mogą,mogłem,mogłam,mogłeś,mogłaś,mógł,mogła,mogło,mogliśmy,mogłyśmy,mogliście,mogłyście,mogli,mogły,mógłbym,mogłabym,mógłbyś,mogłabyś,mógłby,mogłaby,mogłoby,moglibyśmy,mogłybyśmy,moglibyście,mogłybyście,mogliby,mogłyby
wołać,wołam,wołasz,woła,wołamy,wołacie,wołają,wołałem,wołałam,wołałeś,wołałaś,wołał,wołała,wołało,wołaliśmy,wołałyśmy,wołaliście,wołałyście,wołali,wołały,wołałbym,wołałabym,wołałbyś,wołałabyś,wołałby,wołałaby,wołałoby,wołalibyśmy,wołałybyśmy,wołalibyście,wołałybyście,wołaliby,wołałyby
spaść,spadam,spadasz,spada,spadamy,spadacie,spadają,spadłem,spadłam,spadłeś,spadłaś,spadł,spadła,spadło,spadliśmy,spadłyśmy,spadliście,spadłyście,spadli,spadły,spadłbym,spadłabym,spadłbyś,spadłabyś,spadłby,spadłaby,spadłoby,spadlibyśmy,spadłybyśmy,spadlibyście,spadłybyście,spadliby,spadłyby
siedzieć,siedzę,siedzisz,siedzi,siedzimy,siedzicie,siedzą,siedziałem,siedziałam,siedziałeś,siedziałaś,siedział,siedziała,siedziało,siedzieliśmy,siedziałyśmy,siedzieliście,siedziałyście,siedzieli,siedziały,siedziałbym,siedziałabym,siedziałbyś,siedziałabyś,siedziałby,siedziałaby,siedziałoby,siedzielibyśmy,siedziałybyśmy,siedzielibyście,siedziałybyście,siedzieliby,siedziałyby
mówić,mówię,mówisz,mówi,mówimy,mówicie,mówią,mówiłem,mówiłam,mówiłeś,mówiłaś,mówił,mówiła,mówiło,mówiliśmy,mówiłyśmy,mówiliście,mówiłyście,mówili,mówiły,mówiłbym,mówiłabym,mówiłbyś,mówiłabyś,mówiłby,mówiłaby,mówiłoby,mówilibyśmy,mówiłybyśmy,mówilibyście,mówiłybyście,mówiliby,mówiłyby
myśleć,myślę,myślisz,myśli,myślimy,myślicie,myślą,myślałem,myślałam,myślałeś,myślałaś,myślał,myślała,myślało,myśleliśmy,myślałyśmy,myśleliście,myślałyście,myśleli,myślały,myślałbym,myślałabym,myślałbyś,myślałabyś,myślałby,myślałaby,myślałoby,myślelibyśmy,myślałybyśmy,myślelibyście,myślałybyście,myśleliby,myślałyby
leżeć,leżę,leżysz,leży,leżymy,leżycie,leżą,leżałem,leżałam,leżałeś,leżałaś,leżał,leżała,leżało,leżeliśmy,leżałyśmy,leżeliście,leżałyście,leżeli,leżały,leżałbym,leżałabym,leżałbyś,leżałabyś,leżałby,leżałaby,leżałoby,leżelibyśmy,leżałybyśmy,leżelibyście,leżałybyście,leżeliby,leżałyby
stać,stoję,stoisz,stoi,stoimy,stoicie,stoją,stałem,stałam,stałeś,stałaś,stał,stała,stało,staliśmy,stałyśmy,staliście,stałyście,stali,stały,stałbym,stałabym,stałbyś,stałabyś,stałby,stałaby,stałoby,stalibyśmy,stałybyśmy,stalibyście,stałybyście,staliby,stałyby
biegać,biegam,biegasz,biega,biegamy,biegacie,biegają,biegałem,biegałam,biegałeś,biegałaś,biegał,biegała,biegało,biegaliśmy,biegałyśmy,biegaliście,biegałyście,biegali,biegały,biegałbym,biegałabym,biegałbyś,biegałabyś,biegałby,biegałaby,biegałoby,biegalibyśmy,biegałybyśmy,biegalibyście,biegałybyście,biegaliby,biegałyby
śmiać się,śmieję się,śmiejesz się,śmieje się,śmiejemy się,śmiejecie się,śmieją się,śmiałem się,śmiałam się,śmiałeś się,śmiałaś się,śmiał się,śmiała się,śmiało się,śmialiśmy się,śmiałyśmy się,śmialiście się,śmiałyście się,śmiali się,śmiały się,śmiałbym się,śmiałabym się,śmiałbyś się,śmiałabyś się,śmiałby się,śmiałaby się,śmiałoby się,śmialibyśmy się,śmiałybyśmy się,śmialibyście się,śmiałybyście się,śmialiby się,śmiałyby się
uczyć się,uczę się,uczysz się,uczy się,uczymy się,uczycie się,uczą się,uczyłem się,uczyłam się,uczyłeś się,uczyłaś się,uczył się,uczyła się,uczyło się,uczyliśmy się,uczyłyśmy się,uczyliście się,uczyłyście się,uczyli się,uczyły się,uczyłbym się,uczyłabym się,uczyłbyś się,uczyłabyś się,uczyłby się,uczyłaby się,uczyłoby się,uczylibyśmy się,uczyłybyśmy się,uczylibyście się,uczyłybyście się,uczyliby się,uczyłyby się
bać się,boję się,boisz się,boi się,boimy się,boicie się,boją się,bałem się,bałam się,bałeś się,bałaś się,bał się,bała się,bało się,baliśmy się,bałyśmy się,baliście się,bałyście się,bali się,bały się,bałbym się,bałabym się,bałbyś się,bałabyś się,bałby się,bałaby się,bałoby się,balibyśmy się,bałybyśmy się,balibyście się,bałybyście się,baliby się,bałyby się
jechać,jadę,jedziesz,jedzie,jedziemy,jedziecie,jadą,jechałem,jechałam,jechałeś,jechałaś,jechał,jechała,jechało,jechaliśmy,jechałyśmy,jechaliście,jechałyście,jechali,jechały,jechałbym,jechałabym,jechałbyś,jechałabyś,jechałby,jechałaby,jechałoby,jechalibyśmy,jechałybyśmy,jechalibyście,jechałybyście,jechaliby,jechałyby
lubić,lubię,lubisz,lubi,lubimy,lubicie,lubią,lubiłem,lubiłam,lubiłeś,lubiłaś,lubił,lubiła,lubiło,lubiliśmy,lubiłyśmy,lubiliście,lubiłyście,lubili,lubiły,lubiłbym,lubiłabym,lubiłbyś,lubiłabyś,lubiłby,lubiłaby,lubiłoby,lubilibyśmy,lubiłybyśmy,lubilibyście,lubiłybyście,lubiliby,lubiłyby
pytać,pytam,pytasz,pyta,pytamy,pytacie,pyta,jpytają,pytałem,pytałam,pytałeś,pytałaś,pytał,pytała,pytało,pytaliśmy,pytałyśmy,pytaliście,pytałyście,pytali,pytały,pytałbym,pytałabym,pytałbyś,pytałabyś,pytałby,pytałaby,pytałoby,pytalibyśmy,pytałybyśmy,pytalibyście,pytałybyście,pytaliby,pytałyby
patrzeć,patrzę,patrzysz,patrzy,patrzymy,patrzycie,patrzą,patrzyłem,patrzyłam,patrzyłeś,patrzyłaś,patrzył,patrzyła,patrzyło,patrzyliśmy,patrzyłyśmy,patrzyliście,patrzyłyście,patrzyli,patrzyły,patrzyłbym,patrzyłabym,patrzyłbyś,patrzyłabyś,patrzyłby,patrzyłaby,patrzyłoby,patrzylibyśmy,patrzyłybyśmy,patrzylibyście,patrzyłybyście,patrzyliby,patrzyłyby
siedzieć,siedzę,siedzisz,siedzi,siedzimy,siedzicie,siedzą,siedziałem,siedziałam,siedziałeś,siedziałaś,siedział,siedziała,siedziało,siedzieliśmy,siedziałyśmy,siedzieliście,siedziałyście,siedzieli,siedziały,siedziałbym,siedziałabym,siedziałbyś,siedziałabyś,siedziałby,siedziałaby,siedziałoby,siedzielibyśmy,siedziałybyśmy,siedzielibyście,siedziałybyście,siedzieliby,siedziałyby
gadać,gadam,gadasz,gada,gadamy,gadacie,gadają,gadałem,gadałam,gadałeś,gadałaś,gadał,gadała,gadało,gadaliśmy,gadałyśmy,gadaliście,gadałyście,gadali,gadały,gadałbym,gadałabym,gadałbyś,gadałabyś,gadałby,gadałaby,gadałoby,gadalibyśmy,gadałybyśmy,gadalibyście,gadałybyście,gadaliby,gadałyby
śpiewać,śpiewam,śpiewasz,śpiewa,śpiewamy,śpiewacie,śpiewają,śpiewałem,śpiewałam,śpiewałeś,śpiewałaś,śpiewał,śpiewała,śpiewało,śpiewaliśmy,śpiewałyśmy,śpiewaliście,śpiewałyście,śpiewali,śpiewały,śpiewałbym,śpiewałabym,śpiewałbyś,śpiewałabyś,śpiewałby,śpiewałaby,śpiewałoby,śpiewalibyśmy,śpiewałybyśmy,śpiewalibyście,śpiewałybyście,śpiewaliby,śpiewałyby
gotować,gotuję,gotujesz,gotuje,gotujemy,gotujecie,gotują,gotowałem,gotowałam,gotowałeś,gotowałaś,gotował,gotowała,gotowało,gotowaliśmy,gotowałyśmy,gotowaliście,gotowałyście,gotowali,gotowały,gotowałbym,gotowałabym,gotowałbyś,gotowałabyś,gotowałby,gotowałaby,gotowałoby,gotowalibyśmy,gotowałybyśmy,gotowalibyście,gotowałybyście,gotowaliby,gotowałyby
sprzątać,sprzątam,sprzątasz,sprząta,sprzątamy,sprzątacie,sprzątają,sprzątałem,sprzątałam,sprzątałeś,sprzątałaś,sprzątał,sprzątała,sprzątało,sprzątaliśmy,sprzątałyśmy,sprzątaliście,sprzątałyście,sprzątali,sprzątały,sprzątałbym,sprzątałabym,sprzątałbyś,sprzątałabyś,sprzątałby,sprzątałaby,sprzątałoby,sprzątalibyśmy,sprzątałybyśmy,sprzątalibyście,sprzątałybyście,sprzątaliby,sprzątałyby
ubierać się,ubieram się,ubierasz się,ubiera się,ubieramy się,ubieracie się,ubierają się,ubierałem się,ubierałam się,ubierałeś się,ubierałaś się,ubierał się,ubierała się,ubierało się,ubieraliśmy się,ubierałyśmy się,ubieraliście się,ubierałyście się,ubierali się,ubierały się,ubierałbym się,ubierałabym się,ubierałbyś się,ubierałabyś się,ubierałby się,ubierałaby się,ubierałoby się,ubieralibyśmy się,ubierałybyśmy się,ubieralibyście się,ubierałybyście się,ubieraliby się,ubierałyby się
cieszyć się,cieszę się,cieszysz się,cieszy się,cieszymy się,cieszycie się,cieszą się,cieszyłem się,cieszyłam się,cieszyłeś się,cieszyłaś się,cieszył się,cieszyła się,cieszyło się,cieszyliśmy się,cieszyłyśmy się,cieszyliście się,cieszyłyście się,cieszyli się,cieszyły się,cieszyłbym się,cieszyłabym się,cieszyłbyś się,cieszyłabyś się,cieszyłby się,cieszyłaby się,cieszyłoby się,cieszylibyśmy się,cieszyłybyśmy się,cieszylibyście się,cieszyłybyście się,cieszyliby się,cieszyłyby się
bawić się,bawię się,bawisz się,bawi się,bawimy się,bawicie się,bawią się,bawiłem się,bawiłam się,bawiłeś się,bawiłaś się,bawił się,bawiła się,bawiło się,bawiliśmy się,bawiłyśmy się,bawiliście się,bawiłyście się,bawili się,bawiły się,bawiłbym się,bawiłabym się,bawiłbyś się,bawiłabyś się,bawiłby się,bawiłaby się,bawiłoby się,bawilibyśmy się,bawiłybyśmy się,bawilibyście się,bawiłybyście się,bawiliby się,bawiłyby się
oglądać,oglądam,oglądasz,ogląda,oglądamy,oglądacie,oglądają,oglądałem,oglądałam,oglądałeś,oglądałaś,oglądał,oglądała,oglądało,oglądaliśmy,oglądałyśmy,oglądaliście,oglądałyście,oglądali,oglądały,oglądałbym,oglądałabym,oglądałbyś,oglądałabyś,oglądałby,oglądałaby,oglądałoby,oglądalibyśmy,oglądałybyśmy,oglądalibyście,oglądałybyście,oglądaliby,oglądałyby
oglądać się,oglądam się,oglądasz się,ogląda się,oglądamy się,oglądacie się,oglądają się,oglądałem się,oglądałam się,oglądałeś się,oglądałaś się,oglądał się,oglądała się,oglądało się,oglądaliśmy się,oglądałyśmy się,oglądaliście się,oglądałyście się,oglądali się,oglądały się,oglądałbym się,oglądałabym się,oglądałbyś się,oglądałabyś się,oglądałby się,oglądałaby się,oglądałoby się,oglądalibyśmy się,oglądałybyśmy się,oglądalibyście się,oglądałybyście się,oglądaliby się,oglądałyby się
grać,gram,grasz,gra,gramy,gracie,grają,grałem,grałam,grałeś,grałaś,grał,grała,grało,graliśmy,grałyśmy,graliście,grałyście,grali,grały,grałbym,grałabym,grałbyś,grałabyś,grałby,grałaby,grałoby,gralibyśmy,grałybyśmy,gralibyście,grałybyście,graliby,grałyby
biegać,biegam,biegasz,biega,biegamy,biegacie,biegają,biegałem,biegałam,biegałeś,biegałaś,biegał,biegała,biegało,biegaliśmy,biegałyśmy,biegaliście,biegałyście,biegali,biegały,biegałbym,biegałabym,biegałbyś,biegałabyś,biegałby,biegałaby,biegałoby,biegalibyśmy,biegałybyśmy,biegalibyście,biegałybyście,biegaliby,biegałyby
kupować,kupuję,kupujesz,kupuje,kupujemy,kupujecie,kupują,kupowałem,kupowałam,kupowałeś,kupowałaś,kupował,kupowała,kupowało,kupowaliśmy,kupowałyśmy,kupowaliście,kupowałyście,kupowali,kupowały,kupowałbym,kupowałabym,kupowałbyś,kupowałabyś,kupowałby,kupowałaby,kupowałoby,kupowalibyśmy,kupowałybyśmy,kupowalibyście,kupowałybyście,kupowaliby,kupowałyby
rozmawiać,rozmawiam,rozmawiasz,rozmawia,rozmawiamy,rozmawiacie,rozmawiają,rozmawiałem,rozmawiałam,rozmawiałeś,rozmawiałaś,rozmawiał,rozmawiała,rozmawiało,rozmawialiśmy,rozmawiałyśmy,rozmawialiście,rozmawiałyście,rozmawiali,rozmawiały,rozmawiałbym,rozmawiałabym,rozmawiałbyś,rozmawiałabyś,rozmawiałby,rozmawiałaby,rozmawiałoby,rozmawalibyśmy,rozmawiałybyśmy,rozmawalibyście,rozmawiałybyście,rozmawaliby,rozmawiałyby
chodzić,chodzę,chodzisz,chodzi,chodzimy,chodzicie,chodzą,chodziłem,chodziłam,chodziłeś,chodziłaś,chodził,chodziła,chodziło,chodziliśmy,chodziłyśmy,chodziliście,chodziłyście,chodzili,chodziły,chodziłbym,chodziłabym,chodziłbyś,chodziłabyś,chodziłby,chodziłaby,chodziłoby,chodzilibyśmy,chodziłybyśmy,chodzilibyście,chodziłybyście,chodziliby,chodziłyby
oglądać filmy,oglądam filmy,oglądasz filmy,ogląda filmy,oglądamy filmy,oglądacie filmy,oglądają filmy,oglądałem filmy,oglądałam filmy,oglądałeś filmy,oglądałaś filmy,oglądał filmy,oglądała filmy,oglądało filmy,oglądaliśmy filmy,oglądałyśmy filmy,oglądaliście filmy,oglądałyście filmy,oglądali filmy,oglądały filmy,oglądałbym filmy,oglądałabym filmy,oglądałbyś filmy,oglądałabyś filmy,oglądałby filmy,oglądałaby filmy,oglądałoby filmy,oglądalibyśmy filmy,oglądałybyśmy filmy,oglądalibyście filmy,oglądałybyście filmy,oglądaliby filmy,oglądałyby filmy
rozumieć,rozumiem,rozumiesz,rozumie,rozumiemy,rozumiecie,rozumie,rozumiałem,rozumiałam,rozumiałeś,rozumiałaś,rozumiał,rozumiała,rozumiało,rozumieliśmy,rozumiałyśmy,rozumieliście,rozumiałyście,rozumieli,rozumiały,rozumiałbym,rozumiałabym,rozumiałbyś,rozumiałabyś,rozumiałby,rozumiałaby,rozumiałoby,rozumielibyśmy,rozumiałybyśmy,rozumielibyście,rozumiałybyście,rozumieliby,rozumiałyby
słyszeć,słyszę,słyszysz,słyszy,słyszymy,słyszycie,słyszą,słyszałem,słyszałam,słyszałeś,słyszałaś,słyszał,słyszała,słyszało,słyszeliśmy,słyszałyśmy,słyszeliście,słyszałyście,słyszeli,słyszały,słyszałbym,słyszałabym,słyszałbyś,słyszałabyś,słyszałby,słyszałaby,słyszałoby,słyszelibyśmy,słyszałybyśmy,słyszelibyście,słyszałybyście,słyszeliby,słyszałyby
szukać,szukam,szukasz,szuka,szukamy,szukacie,szukają,szukałem,szukałam,szukałeś,szukałaś,szukał,szukała,szukało,szukaliśmy,szukałyśmy,szukaliście,szukałyście,szukali,szukały,szukałbym,szukałabym,szukałbyś,szukałabyś,szukałby,szukałaby,szukałoby,szukalibyśmy,szukałybyśmy,szukalibyście,szukałybyście,szukaliby,szukałyby
zapytać,zapytam,zapytasz,zapytam,zapytamy,zapytacie,zapytają,zapytałem,zapytałam,zapytałeś,zapytałaś,zapytał,zapytała,zapytało,zapytaliśmy,zapytałyśmy,zapytaliście,zapytałyście,zapytali,zapytały,zapytałbym,zapytałabym,zapytałbyś,zapytałabyś,zapytałby,zapytałaby,zapytałoby,zapytalibyśmy,zapytałybyśmy,zapytalibyście,zapytałybyście,zapytaliby,zapytałyby
zabawiać się,zabawiam się,zabawiasz się,zabawia się,zabawiamy się,zabawicie się,zabawiają się,zabawiałem się,zabawiałam się,zabawiałeś się,zabawiałaś się,zabawiał się,zabawiała się,zabawiało się,zabawialiśmy się,zabawiałyśmy się,zabawialiście się,zabawiałyście się,zabawiali się,zabawiały się,zabawiałbym się,zabawiałabym się,zabawiałbyś się,zabawiałabyś się,zabawiałby się,zabawiałaby się,zabawiałoby się,zabawialibyśmy się,zabawiałybyśmy się,zabawialibyście się,zabawiałybyście się,zabawialiby się,zabawiałyby się